"Name","Symbol","Date","High","Low","Open","Close","market_billion_usd","volume_billion_usd"
"Bitcoin","BTC",2017-09-29,55137.31372578,51579.85505711,51683.0100897,55137.31372578,1029.15069741115,56.65219797751
"Bitcoin","BTC",2017-09-30,56568.2160496,54242.90967619,55137.56723702,55973.51084173,1044.8141474116,47.26654223337
"Bitcoin","BTC",2017-10-01,56610.31196825,55071.11199378,55974.94118696,55950.7457745,1044.44655905906,47.68658091799
"Bitcoin","BTC",2017-10-02,58342.09641112,55139.34175909,55947.8989665,57750.19987147,1078.08829647671,57.62558702704
"Bitcoin","BTC",2017-10-03,59447.22403098,57251.5506051,57750.13284273,58917.6930451,1099.93989080441,54.41411643202
"Bitcoin","BTC",2017-10-04,59930.02716002,57726.41877444,58930.27778393,58918.83271375,1100.01678676256,65.52082622539
"Bitcoin","BTC",2017-10-05,59586.0722493,58505.27905354,58926.56414734,59095.80797806,1103.3778307583,61.66916379239
"Bitcoin","BTC",2017-10-06,60267.18765009,58869.27996831,59098.87907036,59384.3133586,1108.81386308286,58.72786062012
"Bitcoin","BTC",2017-10-07,60110.26846076,57603.88917376,59397.40846193,57603.88917376,1075.61726118033,59.64134448362
"Bitcoin","BTC",2017-10-08,58913.74779189,57168.67578229,57604.83861776,58758.55629127,1097.23266034816,50.7496629697
"Bitcoin","BTC",2017-10-09,59891.2969082,57694.82602134,58760.87326121,59057.87896588,1102.88079008918,60.70627211462
"Bitcoin","BTC",2017-10-10,59479.57855171,57646.80889002,59171.93202224,58192.35868406,1086.76918329456,66.05802798788
"Bitcoin","BTC",2017-10-11,58731.14290107,55604.02359245,58186.50853398,56048.93781271,1046.79305475258,75.64530358361
"Bitcoin","BTC",2017-10-12,58338.73822544,55879.08419515,56099.91311078,58323.95357975,1089.33432813876,53.05385564135
"Bitcoin","BTC",2017-10-13,58937.04651601,57807.86384217,58326.56361984,58245.00300108,1087.9110578698,46.65520854571
"Bitcoin","BTC",2017-10-14,61276.66536564,58038.70627787,58253.77680886,59793.23541009,1116.88980287223,58.23847052526
"Bitcoin","BTC",2017-10-15,60790.55531507,59289.79563078,59846.23078558,60204.96491379,1124.63584877545,46.28025258042
"Bitcoin","BTC",2017-10-16,61253.0369158,59589.87375623,60175.94475711,59893.45188869,1118.8710720689,51.82868851948
"Bitcoin","BTC",2017-10-17,63742.28333718,59869.95629306,59890.01779033,63503.45793019,1186.36404414027,69.98345436184
"Bitcoin","BTC",2017-10-18,64863.0989077,61554.79669042,63523.75486927,63109.69593464,1179.06109398042,77.45177968704
"Bitcoin","BTC",2017-10-19,63821.67219266,62208.96436559,63075.19622093,63314.01084504,1182.94549274441,60.95438157931
"Bitcoin","BTC",2017-10-20,63594.72091303,60222.53207871,63258.50517438,61572.78960116,1150.45715673961,84.29300746797
"Bitcoin","BTC",2017-10-21,62572.17605057,60361.35217909,61529.92099734,60683.82123331,1133.88247923677,66.13875919801
"Bitcoin","BTC",2017-10-22,61057.45650886,52829.53592647,60701.88609331,56216.18500243,1050.44540160972,97.46887275837
"Bitcoin","BTC",2017-10-23,57520.05477733,54368.59365509,56191.5841095,55724.26709807,1041.28767215373,65.34486515877
"Bitcoin","BTC",2017-10-24,57062.1502465,53448.04838457,55681.79251074,56473.0322808,1055.32352651409,67.8493239552
"Bitcoin","BTC",2017-10-25,56757.97158884,53695.4703347,56471.12771923,53906.08804584,1007.38953436043,54.92661246571
"Bitcoin","BTC",2017-10-26,55410.22866494,50583.81405608,53857.10689483,51762.27205146,967.37247237528,74.7986307775
"Bitcoin","BTC",2017-10-27,52120.79164545,47714.66215249,51739.80692966,51093.65070999,954.91923009193,86.66866732038
"Bitcoin","BTC",2017-10-28,51167.56335742,48805.2846976,51143.22627463,50050.86821565,935.47164821336,49.01449478062
"Bitcoin","BTC",2017-10-29,50506.01909839,47159.48584083,50052.83164893,49004.25326318,915.95594325631,46.1171142401
"Bitcoin","BTC",2017-10-30,54288.00215537,48852.79684295,49077.79236302,54021.75478737,1009.78004266105,58.28403982462
"Bitcoin","BTC",2017-10-31,55416.96405761,53319.18665411,54030.30371848,55033.11801332,1028.73335959248,49.44822275659
"Bitcoin","BTC",2017-11-01,56227.20564809,53887.91781682,55036.63741947,54824.70489507,1024.88820873436,48.00057295478
"Bitcoin","BTC",2017-11-02,55115.84415438,52418.02844504,54858.09149222,53555.10849133,1001.19363407178,46.08892977974
"Bitcoin","BTC",2017-11-03,57900.71998842,53129.6008774,53568.66358369,57750.17734563,1079.6698843197,52.39593198468
"Bitcoin","BTC",2017-11-04,58448.33881062,57052.2741756,57714.66485835,57828.05063222,1081.17451534254,42.83642735973
"Bitcoin","BTC",2017-11-05,57902.59217082,56141.90651506,57825.86281955,56631.07741255,1058.86200505749,38.17740533516
"Bitcoin","BTC",2017-11-06,58973.30843091,56590.86914497,56620.27262011,57200.29122289,1069.56393545309,51.71313903103
"Bitcoin","BTC",2017-11-07,57214.17876121,53191.42503284,57214.17876121,53333.53775274,997.32414259309,68.56470696726
"Bitcoin","BTC",2017-11-08,57911.36359718,52969.05536281,53252.16476125,57424.00594813,1073.87301286668,69.24131674683
"Bitcoin","BTC",2017-11-09,58363.3146181,55382.50610418,57441.30708417,56396.51416376,1054.71491867496,69.52328510578
"Bitcoin","BTC",2017-11-10,58606.63396719,55321.84671038,56413.95355125,57356.40187692,1072.72743521046,68.43402337624
"Bitcoin","BTC",2017-11-11,59464.61249257,56975.21065264,57352.7659529,58803.77580865,1099.86394100424,65.38298063381
"Bitcoin","BTC",2017-11-12,59210.88178942,56482.00354511,58877.3886984,58232.3161419,1089.24455767556,65.9066903473
"Bitcoin","BTC",2017-11-13,59519.35442559,54071.45537889,58250.87253094,55859.79754454,1044.9273378175,71.7765462983
"Bitcoin","BTC",2017-11-14,56872.54492059,54608.65245902,55847.24104211,56704.5730585,1060.79087719162,61.30839632532
"Bitcoin","BTC",2017-11-15,57939.36241484,49150.53387514,56714.53316738,49150.53387514,919.52784794971,75.21540390665
"Bitcoin","BTC",2017-11-16,51330.84358607,46980.01875184,49735.43206467,49716.19160254,930.1610100601,96.72115292569
"Bitcoin","BTC",2017-11-17,51438.11908462,48868.57828576,49682.9818555,49880.53342038,933.27690126497,55.73749745261
"Bitcoin","BTC",2017-11-18,50639.66532796,46664.141871,49855.49465011,46760.18656071,874.93101974208,59.16104747443
"Bitcoin","BTC",2017-11-19,49720.04462248,43963.35018635,46716.63798759,46456.05847448,869.27907650207,64.047871555
"Bitcoin","BTC",2017-11-20,46623.55822816,42207.28810587,46415.89925412,43537.51138918,814.70164650905,74.90363844984
"Bitcoin","BTC",2017-11-21,45812.45840792,42367.83145309,43488.05798819,42909.40092517,802.97434686295,56.18736508394
"Bitcoin","BTC",2017-11-22,43546.1164845,30681.49691178,42944.97544731,37002.4404659,692.45257014678,126.35809874669
"Bitcoin","BTC",2017-11-23,42462.98498552,35050.61582451,36753.66970802,40782.73826245,763.19592902193,88.28194335863
"Bitcoin","BTC",2017-11-24,42172.17361572,33616.45388421,40596.94832252,37304.69067136,698.10878981673,82.05161686113
"Bitcoin","BTC",2017-11-25,38831.05443914,35383.68375136,37371.02990629,37536.63111241,702.44925364834,57.37727324044
"Bitcoin","BTC",2017-11-26,38289.21812026,31227.33943257,37531.4484526,34770.58362292,650.68627074428,78.46927436073
"Bitcoin","BTC",2017-11-27,39835.13982978,34551.08054976,34700.363568,38705.97863723,724.33207242359,67.35958409836
"Bitcoin","BTC",2017-11-28,39776.34979796,36581.42891576,38795.7802497,38402.22385137,718.82937740847,56.21191580314
"Bitcoin","BTC",2017-11-29,40782.07818311,37905.8348536,38392.62365582,39294.19738214,735.55641116613,51.34673516035
"Bitcoin","BTC",2017-11-30,40379.61767161,37247.90367644,39316.88967818,38436.96853505,719.53812912779,43.21096872058
"Bitcoin","BTC",2017-12-01,38856.96788502,34779.0394272,38507.08307537,35697.60639024,668.28393006656,55.20019195177
"Bitcoin","BTC",2017-12-02,37234.49847965,33693.92945797,35684.1568817,34616.06800347,648.06101320776,45.2310133346
"Bitcoin","BTC",2017-12-03,36400.66888165,33520.73795924,34607.40597914,35678.12920411,667.97663839815,31.64608092132
"Bitcoin","BTC",2017-12-04,37468.24899082,34241.94356094,35658.59295707,37332.85368874,698.99048618497,39.00984763928
"Bitcoin","BTC",2017-12-05,37896.73619262,35787.08596532,37293.79237447,36684.92451667,686.89102122493,34.63942329736
"Bitcoin","BTC",2017-12-06,38231.3391761,35966.30715642,36699.92291982,37575.17957566,703.59967142541,33.07086718976
"Bitcoin","BTC",2017-12-07,39478.95118167,37243.97372784,37599.40994043,39208.76599489,734.22433223942,35.46075042701
